Date,Date,day,month,year,usa_daily_cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,usa_cases_ma7,usa_cases_ma14,usa_cases_ma21,usa_cases_ma28
2020-11-24,2020-11-24,24,11,2020,173963,919,United_States_of_America,US,USA,329064917.0,America,702.0863911,,,,
2020-11-23,2020-11-23,23,11,2020,157471,883,United_States_of_America,US,USA,329064917.0,America,691.4313506,,,,
2020-11-22,2020-11-22,22,11,2020,175494,1486,United_States_of_America,US,USA,329064917.0,America,677.2159184999999,,,,
2020-11-21,2020-11-21,21,11,2020,196117,1858,United_States_of_America,US,USA,329064917.0,America,660.7811674,,,,
2020-11-20,2020-11-20,20,11,2020,188020,2018,United_States_of_America,US,USA,329064917.0,America,640.8781037,,,,
2020-11-19,2020-11-19,19,11,2020,170005,1850,United_States_of_America,US,USA,329064917.0,America,620.9476897999999,,,,
2020-11-18,2020-11-18,18,11,2020,154316,1467,United_States_of_America,US,USA,329064917.0,America,600.4356277,173626.57142857142,,,
2020-11-17,2020-11-17,17,11,2020,168425,1006,United_States_of_America,US,USA,329064917.0,America,581.7213872000001,172835.42857142858,,,
2020-11-16,2020-11-16,16,11,2020,132170,614,United_States_of_America,US,USA,329064917.0,America,556.0298,169221.0,,,
2020-11-15,2020-11-15,15,11,2020,165277,1255,United_States_of_America,US,USA,329064917.0,America,540.4799807,167761.42857142858,,,
2020-11-14,2020-11-14,14,11,2020,184813,1915,United_States_of_America,US,USA,329064917.0,America,514.2410851,166146.57142857142,,,
2020-11-13,2020-11-13,13,11,2020,153669,630,United_States_of_America,US,USA,329064917.0,America,488.8539972,161239.2857142857,,,
2020-12-11,2020-12-11,12,11,2020,143306,2117,United_States_of_America,US,USA,329064917.0,America,468.93725839999996,157425.14285714287,,,
2020-11-11,2020-11-11,11,11,2020,147274,1432,United_States_of_America,US,USA,329064917.0,America,449.20407,156419.14285714287,165022.85714285713,,
2020-10-11,2020-10-11,10,11,2020,138901,679,United_States_of_America,US,USA,329064917.0,America,427.27982460000004,152201.42857142858,162518.42857142858,,
2020-09-11,2020-09-11,9,11,2020,110693,459,United_States_of_America,US,USA,329064917.0,America,405.8427171,149133.2857142857,159177.14285714287,,
2020-08-11,2020-08-11,8,11,2020,121413,1014,United_States_of_America,US,USA,329064917.0,America,390.2673709,142867.0,155314.2142857143,,
2020-07-11,2020-07-11,7,11,2020,130623,1162,United_States_of_America,US,USA,329064917.0,America,378.6110082,135125.57142857142,150636.07142857142,,
2020-06-11,2020-06-11,6,11,2020,122436,1208,United_States_of_America,US,USA,329064917.0,America,364.84655089999995,130663.71428571429,145951.5,,
2020-05-11,2020-05-11,5,11,2020,102507,1102,United_States_of_America,US,USA,329064917.0,America,349.53710970000003,124835.28571428571,141130.2142857143,,
2020-04-11,2020-04-11,4,11,2020,92734,1076,United_States_of_America,US,USA,329064917.0,America,337.5245864,117043.85714285714,136731.5,149029.85714285713,
2020-03-11,2020-03-11,3,11,2020,83883,555,United_States_of_America,US,USA,329064917.0,America,327.1360587,109184.14285714286,130692.78571428571,144740.33333333334,
2020-02-11,2020-02-11,2,11,2020,81001,440,United_States_of_America,US,USA,329064917.0,America,319.92684289999994,104942.42857142857,127037.85714285714,141098.90476190476,
2020-01-11,2020-01-11,1,11,2020,78934,848,United_States_of_America,US,USA,329064917.0,America,309.8504117,98874.0,120870.5,136500.80952380953,
2020-10-31,2020-10-31,31,10,2020,101273,1040,United_States_of_America,US,USA,329064917.0,America,303.0666438,94681.14285714286,114903.35714285714,131984.42857142858,
2020-10-30,2020-10-30,30,10,2020,88130,968,United_States_of_America,US,USA,329064917.0,America,293.64084410000004,89780.28571428571,110222.0,127227.76190476191,
2020-10-29,2020-10-29,29,10,2020,78371,977,United_States_of_America,US,USA,329064917.0,America,286.2426079,86332.28571428571,105583.78571428571,122864.23809523809,
2020-10-28,2020-10-28,28,10,2020,75129,988,United_States_of_America,US,USA,329064917.0,America,280.4732295,83817.28571428571,100430.57142857143,119093.42857142857,132726.7142857143
2020-10-27,2020-10-27,27,10,2020,68359,505,United_States_of_America,US,USA,329064917.0,America,273.6016371,81599.57142857143,95391.85714285714,114328.38095238095,128955.14285714286
2020-10-26,2020-10-26,26,10,2020,59440,331,United_States_of_America,US,USA,329064917.0,America,265.48591319999997,78519.42857142857,91730.92857142857,110865.04761904762,125454.03571428571
2020-10-25,2020-10-25,25,10,2020,83056,904,United_States_of_America,US,USA,329064917.0,America,260.67136170000003,79108.28571428571,88991.14285714286,106949.76190476191,122152.67857142857
2020-10-24,2020-10-24,24,10,2020,85329,953,United_States_of_America,US,USA,329064917.0,America,251.9238476,76830.57142857143,85755.85714285714,102212.42857142857,118195.96428571429
2020-10-23,2020-10-23,23,10,2020,72058,841,United_States_of_America,US,USA,329064917.0,America,243.6437185,74534.57142857143,82157.42857142857,98326.19047619047,114054.46428571429
2020-10-22,2020-10-22,22,10,2020,62978,1135,United_States_of_America,US,USA,329064917.0,America,239.00694339999998,72335.57142857143,79333.92857142857,94501.04761904762,110232.07142857143
2020-10-21,2020-10-21,21,10,2020,58549,933,United_States_of_America,US,USA,329064917.0,America,234.5105662,69967.0,76892.14285714286,90276.04761904762,106811.82142857143
2020-10-20,2020-10-20,20,10,2020,60160,459,United_States_of_America,US,USA,329064917.0,America,229.8042,68795.71428571429,75197.64285714286,86526.47619047618,102945.21428571429
2020-10-19,2020-10-19,19,10,2020,47843,385,United_States_of_America,US,USA,329064917.0,America,223.89199269999997,67139.0,72829.21428571429,83533.61904761905,99933.53571428571
2020-10-18,2020-10-18,18,10,2020,56611,690,United_States_of_America,US,USA,329064917.0,America,219.95903019999997,63361.142857142855,71234.71428571429,80447.80952380953,96052.60714285714
2020-10-17,2020-10-17,17,10,2020,70256,899,United_States_of_America,US,USA,329064917.0,America,218.1502685,61207.857142857145,69019.21428571429,77573.19047619047,91961.28571428571
2020-10-16,2020-10-16,16,10,2020,63785,828,United_States_of_America,US,USA,329064917.0,America,213.35334269999996,60026.0,67280.28571428571,74780.28571428571,88751.14285714286
2020-10-15,2020-10-15,15,10,2020,59386,970,United_States_of_America,US,USA,329064917.0,America,207.57515149999998,59512.857142857145,65924.21428571429,72726.90476190476,85754.0
2020-10-14,2020-10-14,14,10,2020,52517,817,United_States_of_America,US,USA,329064917.0,America,202.2862255,58651.142857142855,64309.07142857143,70811.80952380953,82369.82142857143
2020-10-13,2020-10-13,13,10,2020,41653,314,United_States_of_America,US,USA,329064917.0,America,199.3992571,56007.28571428572,62401.5,68800.85714285714,78896.67857142857
2020-12-10,2020-12-10,12,10,2020,43597,394,United_States_of_America,US,USA,329064917.0,America,196.769077,55400.71428571428,61269.857142857145,67019.71428571429,76500.39285714286
2020-11-10,2020-11-10,11,10,2020,54271,590,United_States_of_America,US,USA,329064917.0,America,194.53577909999998,55066.42857142857,59213.78571428572,65845.28571428571,74102.46428571429
2020-10-10,2020-10-10,10,10,2020,58082,1014,United_States_of_America,US,USA,329064917.0,America,191.83023390000002,53327.28571428572,57267.57142857143,63788.57142857143,71511.71428571429
2020-09-10,2020-09-10,9,10,2020,56800,972,United_States_of_America,US,USA,329064917.0,America,190.89759119999997,52329.42857142857,56177.71428571428,62296.666666666664,69167.57142857143
2020-08-10,2020-08-10,8,10,2020,48182,892,United_States_of_America,US,USA,329064917.0,America,187.07251010000002,50728.857142857145,55120.857142857145,60859.09523809524,67227.39285714286
2020-07-10,2020-07-10,7,10,2020,43062,717,United_States_of_America,US,USA,329064917.0,America,183.95701540000002,49378.142857142855,54014.642857142855,59332.09523809524,65453.392857142855
2020-06-10,2020-06-10,6,10,2020,40705,398,United_States_of_America,US,USA,329064917.0,America,182.5120118,49242.71428571428,52625.0,58015.23809523809,63911.32142857143
2020-05-10,2020-05-10,5,10,2020,34901,400,United_States_of_America,US,USA,329064917.0,America,186.294852,48000.42857142857,51700.57142857143,56846.71428571428,62264.892857142855
2020-04-10,2020-04-10,4,10,2020,50659,678,United_States_of_America,US,USA,329064917.0,America,187.7994183,47484.42857142857,51275.42857142857,55304.0,61255.07142857143
2020-03-10,2020-03-10,3,10,2020,54471,908,United_States_of_America,US,USA,329064917.0,America,184.64988780000002,46968.57142857143,50147.92857142857,53834.57142857143,59583.57142857143
2020-02-10,2020-02-10,2,10,2020,44771,880,United_States_of_America,US,USA,329064917.0,America,183.3547026,45250.142857142855,48789.78571428572,52535.19047619047,58035.03571428572
2020-01-10,2020-01-10,1,10,2020,41982,930,United_States_of_America,US,USA,329064917.0,America,182.98881740000002,44364.42857142857,47546.642857142855,51535.380952380954,56735.42857142857
2020-09-30,2020-09-30,30,9,2020,43017,928,United_States_of_America,US,USA,329064917.0,America,177.70596919999997,44358.0,46868.07142857143,50795.76190476191,55588.57142857143
2020-09-29,2020-09-29,29,9,2020,32998,314,United_States_of_America,US,USA,329064917.0,America,180.2756749,43257.0,46249.857142857145,49502.333333333336,54325.67857142857
2020-09-28,2020-09-28,28,9,2020,36248,259,United_States_of_America,US,USA,329064917.0,America,180.8357468,43449.42857142857,45724.92857142857,48950.19047619047,53497.392857142855
2020-09-27,2020-09-27,27,9,2020,45368,723,United_States_of_America,US,USA,329064917.0,America,180.1133969,42693.57142857143,45089.0,48414.80952380953,52151.392857142855
2020-09-26,2020-09-26,26,9,2020,55013,964,United_States_of_America,US,USA,329064917.0,America,178.73129880000002,42771.0,44869.78571428572,47688.95238095238,51068.67857142857
2020-09-25,2020-09-25,25,9,2020,44213,901,United_States_of_America,US,USA,329064917.0,America,176.6186457,42691.28571428572,43970.71428571428,46756.95238095238,50074.21428571428
2020-09-24,2020-09-24,24,9,2020,37930,1102,United_States_of_America,US,USA,329064917.0,America,174.58075,42112.42857142857,43238.42857142857,45735.23809523809,49179.642857142855
2020-09-23,2020-09-23,23,9,2020,38307,926,United_States_of_America,US,USA,329064917.0,America,172.7564899,41439.57142857143,42898.78571428572,45058.57142857143,48456.71428571428
